dim_us_location_id,location
1,Nevada
2,Kentucky
3,North Carolina
4,Oregon
5,Oklahoma
6,Alaska
7,Tennessee
8,Rhode Island
9,Kansas
10,Alabama
11,South Dakota
12,Connecticut
13,Georgia
14,Illinois
15,Arkansas
16,Idaho
17,Massachusetts
18,Texas
19,Mississippi
20,New Mexico
21,Ohio
22,Missouri
23,Michigan
24,Iowa
25,Hawaii
26,Pennsylvania
27,Minnesota
28,Maine
29,Colorado
30,Washington
31,Vermont
32,South Carolina
33,North Dakota
34,Nebraska
35,California
36,Indiana
37,New Hampshire
38,Montana
39,Wisconsin
40,Florida
41,Wyoming
42,West Virginia
43,Arizona
44,New Jersey
45,Louisiana
46,Delaware
47,Utah
48,New York
49,Virginia
50,Maryland
